"PCA1","PCA2","PCA3","PCA4","PCA5","UMAP1","UMAP2","cell_id"
9.34046,-10.6725,19.1568,-12.9501,-10.1289,13.2502,-0.657246,"X751610"
6.68645,24.5097,3.67435,13.0757,3.41701,13.2501,-1.57241,"X204315"
22.8684,21.6341,-0.878823,2.98239,-10.5982,11.7985,-2.12953,"X665301"
9.41072,8.64423,0.80889200000000006,-20.5174,0.612068,13.1107,-1.27511,"X252862"
6.56555,8.26799,18.1096,1.37337,-1.14392,13.0744,-0.16658,"X161806"
4.06726,-0.439119,14.8443,-12.5817,16.08,11.7906,-1.05076,"X163377"
9.3693,27.7037,6.222,-4.61748,14.8543,12.3932,-0.412812,"X71549"
19.4825,5.7045,17.6631,-17.3027,3.48456,11.6513,0.241147,"X580098"
11.9329,-30.7152,33.0386,1.80755,-27.2588,9.2257,-1.37202,"X81080"
16.4802,-4.85575,15.0281,-40.3866,-20.0206,10.3904,-1.68052,"X622975"
23.219,26.179,24.6419,-30.2675,-8.60316,12.1321,-1.35241,"X348279"
20.9084,-8.34981,32.1691,-24.2289,0.958251,11.299,0.323213,"X93226"
17.5653,10.74,15.6983,-0.656797,18.3071,11.9071,0.234621,"X626202"
12.7052,15.7925,30.3777,1.34128,20.506,12.7281,0.0149613,"X709117"
24.6271,14.1166,17.1871,5.06242,23.9526,11.3747,-0.753512,"X286841"
16.8404,16.5293,4.75536,-19.1098,-13.1442,11.8189,-1.61803,"X292777"
13.9344,17.1948,6.51813,-24.9721,-0.602194,10.6629,-1.83284,"X539403"
22.6957,-21.9788,29.4451,-21.6569,-18.4539,10.4521,-0.336591,"X141083"
15.6188,13.7206,16.1433,-10.3652,7.44926,11.0618,0.0649117,"X370772"
18.732,7.0511,11.5409,-8.94776,9.185,12.6193,-0.0475777,"X602263"
16.1899,6.32338,20.9301,-21.326,0.465059,10.0755,-2.26867,"X567497"
20.3303,19.8466,12.0007,9.64272,-0.20881,11.8716,-2.00966,"X411636"
17.5486,18.1107,-8.686,-12.7552,17.8144,13.0655,-0.51177,"X715901"
23.431,-12.5671,3.644,-9.93072,8.40268,10.8304,0.00700421,"X104941"
21.0579,-7.03182,14.2226,-16.8521,-12.3327,10.8188,-1.44225,"X765083"
18.4852,5.73438,9.78357,4.67271,-6.85008,12.0942,-1.3617,"X221610"
22.5587,33.1977,-7.45767,-30.5978,-13.5283,11.1877,-1.63229,"X373981"
4.23605,-28.268,-24.3489,-25.8092,28.2923,9.11094,0.354359,"X859971"
19.7689,31.8055,3.80047,7.63823,37.2866,11.3385,-0.533766,"X584059"
18.5339,-41.5967,-20.0237,-16.6643,-2.19832,8.71391,0.0229464,"X26527"
28.6591,2.15169,29.739,-16.3166,5.33986,11.3599,-0.838236,"X289602"
20.1616,8.88988,27.5149,-11.6765,1.62725,11.1573,-0.676875,"X416262"
10.8177,16.4146,5.12307,-8.80464,12.3629,11.2111,-0.24935,"X780207"
25.6251,18.0834,9.92337,25.3149,4.68617,13.1316,-1.06933,"X61960"
34.7018,-5.47472,7.31551,-11.2681,-12.7267,10.8848,-0.581211,"X698677"
15.4329,19.1871,4.07232,-8.69123,-5.55783,12.2356,-0.374941,"X16205"
32.3214,14.05,13.8166,-13.5651,-15.0399,11.6313,-2.38776,"X199131"
22.0439,25.3487,7.67103,1.35233,14.4315,12.0975,-1.37729,"X33693"
40.0354,-6.13089,12.6853,-16.9241,-13.3268,11.3474,-0.918024,"X301033"
24.5108,3.0044400000000002,16.32,-15.7658,8.39455,11.7289,0.116459,"X744009"
14.9723,-46.9223,5.12805,4.65824,-7.45242,8.88175,-0.286251,"X341693"
19.2527,-9.94356,13.1394,10.3932,-10.1869,11.0978,0.127818,"X596186"
36.0927,0.230155,13.6322,-26.9706,7.16713,11.0103,-0.926093,"X119867"
20.6689,-75.6916,-29.109,33.6033,-11.0267,7.88262,0.567953,"X99995"
24.5855,12.6173,-14.743,-36.4657,-1.86973,11.0283,-1.31521,"X276199"
34.4569,-3.87709,29.5331,-1.62459,5.26476,12.0479,-0.0365264,"X273258"
21.2514,-12.0146,9.6456,-8.74469,13.7556,10.2668,-0.260744,"X438531"
28.2826,42.1441,-45.8262,9.64063,-19.666,13.2226,-2.29821,"X114134"
26.6465,-18.3822,-26.0669,-7.51759,7.21269,9.77269,0.303005,"X672962"
26.2441,-1.1168,24.4681,2.81885,-19.3671,11.3491,-1.18692,"X508847"
29.5306,2.81125,24.0588,3.48974,-5.01489,12.3906,0.10271,"X469327"
39.5465,-31.303,-17.577,-30.0378,14.9983,9.2599,0.684703,"X343003"
24.7718,34.8942,-35.9425,-16.6256,-35.0019,12.697,-2.96025,"X52626"
7.17442,-12.835,12.5847,9.43018,-12.8806,9.57082,0.236352,"X394522"
27.0496,7.77385,-10.5114,-23.3559,-1.67963,12.2489,-1.52536,"X619392"
19.223,-11.6843,10.6548,-18.6187,-25.2934,11.3948,-1.95141,"X663299"
16.2238,25.225,0.142275,24.8775,15.8377,12.5191,-0.0527917,"X92416"
26.2519,-55.9141,-36.3882,-11.4281,-18.6154,8.06878,0.58198,"X77530"
26.2383,-22.9574,-10.6197,-23.8511,7.10171,9.53335,0.60951,"X592631"
31.6179,4.90384,17.8587,-20.079,9.2503,12.269,-1.03953,"X232821"
25.3638,-0.330346,18.2726,-6.67413,7.19207,12.7083,-0.207305,"X291133"
37.813,17.5103,1.62623,16.1266,-13.2821,12.4813,-2.37796,"X670522"
32.6664,19.4893,-59.238,-17.9618,-61.5888,12.6978,-2.8643,"X189085"
21.5782,4.75555,-14.4804,-32.7002,-16.1578,11.046,-1.68182,"X480806"
33.6785,-6.33877,12.4566,-16.0183,-3.50303,12.0717,0.307877,"X454709"
24.8975,-17.5907,-3.42357,-18.868,0.0463676,11.4757,-0.37945,"X251160"
38.4716,8.14491,-3.84743,-1.05736,-21.8557,12.624,-1.53547,"X52030"
34.8557,-6.6946,-3.17577,-10.8383,6.23049,10.827,0.284013,"X257283"
37.2213,10.6426,13.9396,5.71467,17.27,13.2428,-0.923591,"X584594"
28.2668,2.32134,15,-16.575,-1.34675,11.9156,-1.04208,"X88158"
19.7829,3.4477,5.28024,-0.192532,17.0991,12.6392,-0.501781,"X98628"
30.4161,4.56981,8.96179,-22.3875,-28.7169,11.091,-2.18963,"X164221"
42.1852,10.4383,4.88712,10.9961,15.4909,11.7916,-0.802469,"X753401"
30.4595,11.8213,23.2064,-8.59978,14.8337,12.2915,-0.770282,"X675427"
28.1209,19.109,2.99094,-0.593318,24.0803,12.3276,0.365103,"X237246"
29.6546,7.59129,-5.92239,9.09609,3.2222,11.6755,0.0179782,"X119283"
20.9204,3.4418,13.6731,4.59862,-24.8793,11.6891,-2.38792,"X114294"
26.0236,-20.8432,-21.5007,9.27825,24.8025,9.03978,0.567681,"X382487"
32.7303,10.9101,14.3516,10.7311,32.5583,13.1225,-0.687825,"X65422"
24.4062,-52.2926,23.1148,-3.93983,-21.2921,9.18561,-0.826885,"X458795"
36.6251,5.40814,29.2113,-4.90517,5.05595,12.9409,-0.536589,"X67512"
32.8728,-15.4655,23.6765,-7.65009,-1.5238,10.1335,-0.13617,"X420169"
41.5878,3.63635,26.3927,1.0667,1.06858,12.9506,-1.82079,"X225030"
41.0862,5.18642,13.8524,-11.8054,-2.40418,12.9272,-0.959633,"X167625"
26.0646,24.2728,8.18894,7.3432,10.2348,12.8934,-1.0254,"X845918"
42.8824,-6.39848,17.2577,0.550061,4.64835,12.1159,-0.580758,"X669063"
45.4257,11.5401,20.9173,12.8587,6.86055,12.6769,-0.89643,"X713611"
37.0328,14.1345,6.47109,-1.08424,-9.39851,12.0023,-1.21774,"X853004"
41.0831,-0.721029,24.0511,7.26829,3.21872,12.632,-0.494097,"X667845"
36.7079,4.71626,0.192018,-20.1054,-2.86432,11.345,-1.18108,"X758627"
44.4623,-75.0437,-42.127,15.2718,-8.1244,8.0287,0.760063,"X505065"
40.6583,1.33771,10.2844,-8.53728,17.1764,11.8597,-0.372473,"X329159"
35.8589,6.31286,19.0722,-5.87469,-1.25668,12.1421,-1.02823,"X324734"
38.8983,-10.5397,7.81414,-5.28109,8.43525,11.5268,-0.0381377,"X323264"
42.3222,-5.92659,16.4918,-0.132131,-7.00742,11.8568,0.121191,"X864729"
41.2758,-0.389737,2.98357,-1.17767,-15.2224,11.3088,-0.886617,"X792166"
25.7956,-61.5615,-35.7891,20.0538,-0.814981,8.03148,0.612082,"X95898"
42.5939,-10.3565,28.4401,-9.4086,-2.83498,11.1,-0.1511,"X316466"
42.6969,16.5091,11.818,14.377,9.33158,12.5323,-0.744427,"X281119"
33.9464,-3.01335,8.52409,-20.2365,-1.29677,11.891,-0.337578,"X565798"
50.6124,-32.8881,-25.2907,-7.5966,7.15508,8.52764,0.653023,"X782716"
43.9254,-6.01317,1.2165,4.92345,7.81698,12.0056,-0.199304,"X252690"
55.0771,-5.9208,20.6963,-18.2126,-16.319,12.1321,-1.21899,"X209981"
47.3741,-3.59884,-4.23612,-8.91194,2.81295,13.0768,-1.13814,"X262504"
52.918,-1.24478,-0.257266,-26.9514,-23.5349,11.8096,-1.54774,"X611133"
37.3561,4.58316,12.7506,-0.703367,7.46713,12.102,-1.09333,"X437221"
38.7939,-25.808,-20.0215,-9.03704,-1.20742,9.12704,0.132814,"X427790"
42.2061,5.47517,12.4579,4.52998,20.0738,12.2507,-0.248111,"X843605"
10.3478,-56.6519,8.20815,12.9072,-19.1424,9.20964,-0.813231,"X872079"
44.3999,-3.58325,15.2987,-1.64079,3.34247,12.0477,-0.259674,"X565807"
50.6337,6.5216,11.8426,-6.01156,-0.185526,12.5361,-1.18001,"X61688"
37.1394,-35.2461,-1.33916,-9.9926,0.0604013,9.36832,0.272943,"X643703"
45.6646,-1.99722,17.0907,-0.0447429,8.28267,12.6583,-0.524369,"X453662"
46.5234,4.47149,1.79702,-2.90301,4.83825,12.7644,-0.67376,"X199459"
33.4544,-49.2548,-0.916475,1.12884,-2.46221,9.15248,-0.414123,"X644335"
42.8824,-6.1219,6.04732,5.3934,-24.9864,12.5568,-1.90507,"X111532"
45.7967,-5.3064,14.6672,-10.0416,-8.69303,12.3415,-0.835057,"X796391"
47.0558,-17.6079,20.6787,-5.62078,-5.36505,11.1264,0.0645384,"X728296"
52.9257,-2.52514,13.7652,5.58774,9.01554,12.3166,-0.238267,"X390376"
52.7026,-49.3986,-21.0032,6.16528,-1.06456,8.47096,0.490268,"X236767"
-165.353,31.3892,2.68014,20.395,25.642,9.46605,-2.76815,"X56955"
-178.199,2.20002,-23.1733,5.78867,28.4171,8.37543,-2.74233,"X759136"
-131.589,25.5424,20.7698,-1.58779,-22.6261,8.66314,-2.77563,"X563851"
-127.754,-15.5082,16.9075,23.5345,-5.4102,8.2717,-2.40076,"X500495"
-123.435,18.2885,-3.04971,-5.21191,-23.3652,8.97157,-2.89027,"X322713"
-109.894,-33.5947,-21.2961,21.971,20.4664,8.18978,-1.95465,"X318754"
-83.2779,-15.1073,-1.52782,-2.61531,-0.419468,8.72122,-1.33666,"X538436"
-110.733,-18.4687,16.3029,55.9259,-28.1933,8.42919,-2.79428,"X647571"
-107.022,4.96578,12.7288,38.8199,-8.82574,8.46808,-2.77382,"X858286"
-92.557,-40.2211,24.1568,36.2202,-19.1143,8.05416,-1.66358,"X200143"
-79.0416,-38.1437,5.95618,13.5766,-26.2439,8.10058,-1.4326,"X451598"
-101.81,-59.193,-28.7609,34.6701,4.51452,7.81883,-1.20253,"X846775"
-64.5641,35.9879,10.9327,4.99518,20.1744,10.2536,-2.61541,"X852547"
-73.7632,27.1158,-13.703,-19.5627,-0.250478,9.66533,-1.86221,"X573601"
-104.17,-15.0335,17.8738,12.5758,1.43122,8.40367,-2.62158,"X742282"
-106.435,28.7331,-43.7847,1.20275,-57.0611,10.0432,-3.17533,"X2096"
-81.4189,10.9016,-22.2866,-11.924,20.1206,9.58976,-2.10528,"X48710"
-90.4983,-11.4166,38.7208,30.9527,-44.875,8.61988,-2.81016,"X128540"
-75.4111,38.5339,-30.9535,-29.0137,-4.44964,10.0126,-2.20451,"X721745"
-87.5721,-52.6168,-7.26303,-10.1432,-8.41886,8.054,-0.987788,"X486221"
-72.8956,-21.6832,15.8537,0.819566,-28.016,8.25732,-1.9926,"X453547"
-66.9422,53.881100000000004,-26.1085,15.3214,-7.98472,12.5642,-2.81014,"X742977"
-59.8465,-51.1468,-1.99187,21.3219,-18.6316,7.89867,-1.3478,"X264469"
-71.6804,-22.0014,30.0369,25.8212,-31.3182,8.60121,-2.40539,"X398197"
